time,open,high,low,close,volume
2024-01-02 00:00:00,2000.0,2000.8016119371002,1999.5031051426542,2000.3047170797545,177
2024-01-02 00:01:00,2000.3047170797545,2000.7847461457056,1998.784545457103,1999.264574523054,158
2024-01-02 00:02:00,1999.264574523054,2000.3360881732103,1998.9432361182403,2000.0147497683965,139
2024-01-02 00:03:00,2000.0147497683965,2001.7270830570164,1999.2429881327237,2000.9553214213436,57
2024-01-02 00:04:00,2000.9553214213436,2001.6488341308925,1998.3098415902862,1999.003354299835,128
2024-01-02 00:05:00,1999.003354299835,1999.0395725133453,1997.6656054852656,1997.7018236987758,165
2024-01-02 00:06:00,1997.7018236987758,1997.8900618232333,1997.6412790775933,1997.8295172020507,23
2024-01-02 00:07:00,1997.8295172020507,1998.5984338831036,1996.7447011282077,1997.5136178092605,43
2024-01-02 00:08:00,1997.5136178092605,1997.787160447881,1997.223294900185,1997.4968375388055,107
2024-01-02 00:09:00,1997.4968375388055,1998.2164447812293,1995.925254022577,1996.6448612650008,78
2024-01-02 00:10:00,1996.6448612650008,1998.4340265479575,1995.7336187058024,1997.522783988759,144
2024-01-02 00:11:00,1997.522783988759,1998.3911535161235,1997.4312430175057,1998.2996125448701,86
2024-01-02 00:12:00,1998.2996125448701,1998.4009432847859,1998.264256363631,1998.3655871035467,199
2024-01-02 00:13:00,1998.3655871035467,2000.7613572134637,1997.0961370118146,1999.4919071217316,66
2024-01-02 00:14:00,1999.4919071217316,2000.6999109354451,1998.7512938811865,1999.9592976949,78
2024-01-02 00:15:00,1999.9592976949,2000.3914069004597,1998.667913514049,1999.1000227196087,10
2024-01-02 00:16:00,1999.1000227196087,1999.694971229017,1998.8736590606188,1999.4686075700272,57
2024-01-02 00:17:00,1999.4686075700272,1999.8641363378276,1998.1144509728754,1998.5099797406758,54
2024-01-02 00:18:00,1998.5099797406758,1999.5115087653305,1998.3862465629552,1999.38777558761,154
2024-01-02 00:19:00,1999.38777558761,2000.340824829103,1998.3848157180612,1999.3378649595543,74
2024-01-02 00:20:00,1999.3378649595543,1999.6270419889856,1998.863886768502,1999.1530637979333,48
2024-01-02 00:21:00,1999.1530637979333,2000.189685268258,1997.435801135146,1998.4724226054707,69
2024-01-02 00:22:00,1998.4724226054707,2000.1337113381062,1998.0327414482529,1999.6940301808884,116
2024-01-02 00:23:00,1999.6940301808884,1999.8766480522163,1999.3569064681703,1999.5395243394983,159
2024-01-02 00:24:00,1999.5395243394983,1999.9688128640921,1998.6820066100097,1999.1112951346036,195
2024-01-02 00:25:00,1999.1112951346036,1999.5606828989194,1998.3099302911994,1998.7593180555152,18
2024-01-02 00:26:00,1998.7593180555152,1999.8427941041195,1998.2078209792667,1999.291297027871,169
2024-01-02 00:27:00,1999.291297027871,2000.188472587006,1998.7594360374526,1999.6566115965875,83
2024-01-02 00:28:00,1999.6566115965875,2000.9992026515476,1998.7266822894273,2000.0692733443875,163
2024-01-02 00:29:00,2000.0692733443875,2000.6546698797295,1999.9147127342592,2000.5001092696011,17
2024-01-02 00:30:00,2000.5001092696011,2003.7084456295765,1999.433956039405,2002.6422923993805,128
2024-01-02 00:31:00,2002.6422923993805,2003.5715695832737,2001.306063265448,2002.2353404493413,186
2024-01-02 00:32:00,2002.2353404493413,2003.3371059676997,2000.6207596834654,2001.7225252018238,17
2024-01-02 00:33:00,2001.7225252018238,2002.3016994921566,2000.3288773112267,2000.9080516015595,160
2024-01-02 00:34:00,2000.9080516015595,2002.5306358202924,1999.9017264759525,2001.5243106946855,31
2024-01-02 00:35:00,2001.5243106946855,2002.6656610902048,2001.512793044157,2002.6541434396763,196
2024-01-02 00:36:00,2002.6541434396763,2003.540486713735,2001.653701491514,2002.5400447655727,151
2024-01-02 00:37:00,2002.5400447655727,2002.8318272935733,2001.4070387430788,2001.6988212710794,182
2024-01-02 00:38:00,2001.6988212710794,2001.75940845818,2000.813052545174,2000.8736397322746,180
2024-01-02 00:39:00,2000.8736397322746,2001.6749751055006,2000.723181338728,2001.524516711954,70
2024-01-02 00:40:00,2001.524516711954,2002.87123290084,2000.9216212459742,2002.26833743486,89
2024-01-02 00:41:00,2002.26833743486,2003.082768077142,2001.997677089463,2002.8121077317448,141
2024-01-02 00:42:00,2002.8121077317448,2003.5633422284661,2001.3944277852383,2002.1456622819596,43
2024-01-02 00:43:00,2002.1456622819596,2002.5015142991867,2002.0222206576966,2002.3780726749237,68
2024-01-02 00:44:00,2002.3780726749237,2002.7460491539625,2002.1269207486928,2002.4948972277316,28
2024-01-02 00:45:00,2002.4948972277316,2003.8643726515886,2001.3443832033904,2002.7138586272474,178
2024-01-02 00:46:00,2002.7138586272474,2004.5497141555586,2001.750614344138,2003.5864698724492,57
2024-01-02 00:47:00,2003.5864698724492,2003.9910911240593,2003.4058451289638,2003.8104663805739,88
